Ref,Val,Package,PosX,PosY,Rot,Side
"R42","10kΩ","R_0402_1005Metric",126.440000,-72.050000,0.000000,bottom
"R43","100kΩ","R_0402_1005Metric",120.590000,-56.000000,180.000000,bottom
"R44","100kΩ","R_0402_1005Metric",120.340000,-58.450000,0.000000,bottom
"R45","750kΩ","R_0603_1608Metric",120.025000,-57.200000,0.000000,bottom
"R46","4.7kΩ","R_0402_1005Metric",126.750000,-84.960000,90.000000,bottom
"R47","10kΩ","R_0402_1005Metric",125.800000,-84.960000,90.000000,bottom
"R48","5.1kΩ","R_0402_1005Metric",106.600000,-49.860000,90.000000,bottom
"R49","5.1kΩ","R_0402_1005Metric",109.250000,-49.860000,90.000000,bottom
"R50","56kΩ","R_0603_1608Metric",148.200000,-53.775000,-90.000000,bottom
"R51","56kΩ","R_0603_1608Metric",155.300000,-50.275000,90.000000,bottom
"R52","5.1kΩ","R_0402_1005Metric",125.490000,-93.000000,0.000000,bottom
"R53","10kΩ","R_0402_1005Metric",100.510000,-98.500000,0.000000,bottom
"R54","470Ω","R_0402_1005Metric",178.390000,-59.792500,180.000000,bottom
"R55","10kΩ","R_0402_1005Metric",100.510000,-97.550000,0.000000,bottom
"R56","1kΩ","R_0402_1005Metric",70.740000,-77.950000,0.000000,bottom
"R57","10kΩ","R_0402_1005Metric",70.760000,-78.900000,180.000000,bottom
"R58","4.7kΩ","R_0402_1005Metric",126.640000,-63.850000,0.000000,bottom
"R59","4.7kΩ","R_0402_1005Metric",126.640000,-64.800000,0.000000,bottom
"R60","5.1kΩ","R_0402_1005Metric",125.490000,-92.050000,0.000000,bottom
"R61","10kΩ","R_0402_1005Metric",146.490000,-89.475000,180.000000,bottom
"R62","10kΩ","R_0402_1005Metric",146.490000,-90.425000,0.000000,bottom
"R63","100kΩ","R_0402_1005Metric",165.450000,-62.370000,90.000000,bottom
"R64","10kΩ","R_0402_1005Metric",104.040000,-63.400000,0.000000,bottom
"RP2040#1","W25Q32JVSSIQ","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL",104.172500,-73.795000,180.000000,bottom
"RP2040#2","W25Q32JVSSIQ","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL",155.277500,-67.250000,0.000000,bottom
"RSPK","SPK_R","CONN-TH_S2B-PH-K-S-LF-SN",147.650000,-114.700000,90.000000,bottom
"SW1","SW_START","KEY-SMD_4P-SKSCLXX010",99.500000,-45.455000,0.000000,bottom
"SW2","KillSW","SW-TH_MSK12C02",120.500000,-46.350000,0.000000,bottom
"SW_D1","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",64.550000,-49.150000,0.000000,bottom
"SW_D2","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",188.450000,-49.100000,180.000000,bottom
"Stick","5034800440","FPC-SMD_5034800400",146.730000,-106.990000,-90.000000,bottom
"U1","BQ25895RTWR","QFN-24_L4.0-W4.0-P0.50-TL-EP2.7",96.665000,-52.900000,180.000000,bottom
"U2","TPS61023DRLR","SOT-563_L1.6-W1.2-P0.50-LS1.6-BR",106.650000,-55.550000,90.000000,bottom
"U3","AP2112K-3.3TRG1","SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL",114.600000,-50.909792,90.000000,bottom
"U4","VL812","QFN-76_L9.0-W9.0-P0.40-BL-EP",136.900000,-70.350000,-90.000000,bottom
"U5","W25Q32JVSSIQ","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL",137.300000,-81.172500,90.000000,bottom
"U6","RP2040#1","LQFN-56_L7.0-W7.0-P0.4-EP",95.150000,-71.845000,90.000000,bottom
"U7","TPS61023DRLR","SOT-563_L1.6-W1.2-P0.50-LS1.6-BR",122.700000,-56.000000,180.000000,bottom
"U8","USB31-TYPE-C-FSABC","USB-C-SMD_USB31-TYPE-C-FSABC",148.950000,-47.150000,0.000000,bottom
"U9","MAX98357AEWL+T_L","WLP-9_L1.4-W1.3-P0.40-R3-C3-BR",115.650000,-104.600000,-90.000000,bottom
"U10","TPS2042BDR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",147.820000,-58.520000,90.000000,bottom
"U11","RP2040#2","LQFN-56_L7.0-W7.0-P0.4-EP",165.250000,-67.842500,-90.000000,bottom
"U12","HC-USB3.0-L168-WP","USB-TH_USB3.0-A",134.850000,-54.000000,0.000000,bottom
"U13","PCM5102APWR","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",172.150000,-58.670000,-90.000000,bottom
"U14","TPA6132A2RTER","WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6",161.410000,-57.242500,0.000000,bottom
"U15","MAX98357AEWL+T_R","WLP-9_L1.4-W1.3-P0.40-R3-C3-BR",145.000000,-111.950000,90.000000,bottom
"U16","RT9080-33GJ5","TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL",188.500000,-69.877500,90.000000,bottom
"USB3.0","J_SBC_USB_3.1","FPC-SMD_24P-P0.50_FPC-05F-24PH20",129.560000,-92.500000,-90.000000,bottom
"USBC1","J_USB_PWR","USB-C_SMD-TYPE-C-31-M-12_1",107.850000,-45.577500,0.000000,bottom
"USBPOW","J_SBC_USB_2.0","FPC-SMD_24P-P0.50_FPC-05F-24PH20",104.060000,-92.500000,-90.000000,bottom
"Y1","C9006","CRYSTAL-SMD_4P-L3.2-W2.5-BL",142.950000,-63.600000,0.000000,bottom
"Y2","C70565","CRYSTAL-SMD_4P-L3.2-W2.5-BL",173.935000,-65.807500,-90.000000,bottom
"Y4","C70565","CRYSTAL-SMD_4P-L3.2-W2.5-BL",87.715000,-75.115000,180.000000,bottom
